InstAddress		Total_Execution	Total_Cycles	Instruction
90007770		32                  	384                 	JSR   R31, JMP, 0x00006ac2
90007776		32                  	6720                	LD    R17, R2
90007778		32                  	384                 	JSR   R31, JMP, 0x00006c92
9000777e		32                  	6752                	LDX   R17, R2, 0xfffc
90007782		32                  	384                 	JSR   R31, JMP, 0x00006ae2
90007788		32                  	96                  	MOV   R17, R1
9000778a		32                  	6752                	LD    --R0, R17
9000778c		32                  	6752                	LD    --R0, R16
9000778e		32                  	352                 	JMP   R16, JMP
90007790		1                   	209                 	ST    R0++, R16
90007792		1                   	9                   	ST    R0++, R17
90007794		1                   	3                   	MOV   R1, R17
90007796		1                   	4                   	ADD   R30, R1, 0x20
9000779a		1                   	9                   	ST    R0++, R18
9000779c		1                   	9                   	ST    R0++, R20
9000779e		1                   	9                   	ST    R0++, R21
900077a0		1                   	209                 	ST    R0++, R22
900077a2		1                   	3                   	MOVC  0, R20
900077a4		1                   	13                  	JSR   R31, JMP, 0x00004592
900077aa		1                   	9                   	STX   R1, R23, 0xffe4
900077ae		1                   	3                   	MOVC  3, R2
900077b0		1                   	12                  	JSR   R31, JMP, 0x0000034c
900077b6		1                   	211                 	LDX   R1, R10, 0xffe4
900077ba		1                   	8                   	MULC  4, R10
900077bc		1                   	3                   	MOV   R23, R11
